corpus,model,kfold,model_num,epoch,discrepancy,train_acc,train_f1,train_p,train_r,train_qwk,vali_acc,vali_f1,vali_p,vali_r,vali_qwk,test_acc,test_f1,test_p,test_r,test_qwk,time_taken
onestop,bert,3,14,3.0,0.08176482030879262,0.7666666666666667,0.748092806048543,0.802574761030448,0.802574761030448,0.9291044776119403,0.7,0.6663279857397504,0.7424242424242424,0.7424242424242424,0.9256198347107438,0.7333333333333333,0.7203174603174604,0.7611111111111111,0.7611111111111111,0.9185185185185185,467.09006094932556
onestop,bert,2,2,0.5789473684210527,0.032841254324110225,0.5837004405286343,0.47837281578590424,0.4097016419703644,0.4097016419703644,-0.12367491166077738,0.5535714285714286,0.445531561461794,0.3737096774193548,0.3737096774193548,-0.14492753623188404,0.47368421052631576,0.3776595744680851,0.31403940886699505,0.31403940886699505,-0.2727272727272727,819.5601208209991
onestop,bert,4,0,0.2,0.018585524064976156,0.24166666666666667,0.20949461497406704,0.23245151840640563,0.23245151840640563,0.3417861080485116,0.26666666666666666,0.1909090909090909,0.2025,0.2025,0.4375,0.26666666666666666,0.21128936423054068,0.18606060606060607,0.18606060606060607,0.36036036036036034,480.3080942630768
onestop,bert,4,1,0.4,0.008395553343288523,0.20416666666666666,0.07506222000995519,0.24016736401673638,0.24016736401673638,-0.0013917884481557952,0.2,0.06666666666666667,0.04000000000000001,0.04000000000000001,0.0,0.2,0.06666666666666667,0.04000000000000001,0.04000000000000001,0.0,487.6205863952637
onestop,bert,4,2,0.6,0.0064777926699634975,0.22916666666666666,0.11923649304432223,0.24120171673819743,0.24120171673819743,0.07777777777777772,0.23333333333333334,0.12571428571428572,0.24137931034482757,0.24137931034482757,0.0888888888888889,0.23333333333333334,0.12571428571428572,0.24137931034482757,0.24137931034482757,0.0888888888888889,494.8635149002075
onestop,bert,2,3,0.7719298245614035,0.048833058240385196,0.6938325991189427,0.6025575480363035,0.7799058168539976,0.7799058168539976,0.20350877192982453,0.6607142857142857,0.5537244897959183,0.7773617511520737,0.7773617511520737,0.17142857142857137,0.7017543859649122,0.627140974967062,0.7901234567901233,0.7901234567901233,0.3529411764705882,843.5339999198914
onestop,bert,4,3,0.8,0.0003050397877984168,0.31666666666666665,0.19469496021220156,0.15714285714285714,0.15714285714285714,0.4,0.3,0.19499999999999998,0.19615384615384618,0.19615384615384618,0.3111111111111111,0.4,0.2673740053050398,0.22360248447204967,0.22360248447204967,0.5777777777777777,502.14673686027527
onestop,bert,4,4,1.0,0.002912994448440287,0.5041666666666667,0.42414393741851364,0.4613240418118468,0.4613240418118468,0.6718346253229974,0.5333333333333333,0.42123094297007335,0.38058823529411767,0.38058823529411767,0.7751937984496124,0.43333333333333335,0.4001709401709402,0.41428571428571426,0.41428571428571426,0.65359477124183,509.42259550094604
onestop,bert,4,5,1.2,0.011212182459588271,0.5291666666666667,0.46425691550432124,0.6380864902996621,0.6380864902996621,0.7550525464834277,0.5333333333333333,0.453044733044733,0.44904761904761903,0.44904761904761903,0.7417218543046358,0.6,0.5567099567099567,0.8083333333333333,0.8083333333333333,0.7225806451612904,516.7214667797089
onestop,bert,4,6,1.4,0.011027205250566663,0.5791666666666667,0.5608684750918365,0.6679070442393981,0.6679070442393981,0.7582515611061552,0.5666666666666667,0.5498412698412698,0.6333333333333333,0.6333333333333333,0.7480916030534351,0.5,0.47149068322981363,0.6705882352941176,0.6705882352941176,0.7152317880794702,523.9998996257782
